15,00938  	-244,98909  	1327,75450  	289,87951  	26,59832  	0,04869  	0,02644  	-15815,93170  	0,01813  	0,06899  	0,21759  	0,21546  	7050073,15779  	2284,41626  	5,35069  	-4667896,50935  	11,74176  	0,03199  	-Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00451  	-244,98909  	0,00400  	0,00409  
16,01276  	-244,98909  	1327,75450  	-244,98909  	26,59876  	0,05139  	0,02600  	51298,66361  	0,01799  	0,06884  	0,21395  	0,21183  	497039,91901  	3653,43056  	5,31021  	15140230,57811  	11,71581  	0,20296  	-Inf  	-Inf  	0,00406  	0,00408  	0,00396  	0,00450  	794,63432  	0,00400  	0,00409  
17,01389  	-244,98909  	1327,75450  	799,57257  	26,59934  	0,04387  	0,02622  	85706,53851  	0,01872  	0,06914  	0,21582  	0,21370  	40903661,45613  	1047,45594  	5,52575  	25295332,54600  	11,76718  	0,00882  	-Inf  	-Inf  	0,00405  	0,00409  	0,00396  	0,00450  	1327,62170  	0,00398  	0,00409  
18,01347  	-244,98909  	1327,75450  	1327,82053  	26,59960  	0,05053  	0,02622  	85706,53851  	0,01821  	0,06935  	0,21580  	0,21368  	166449077,30425  	0,15084  	5,37575  	25295332,54600  	11,80264  	0,00396  	-Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00450  	1327,62170  	0,00400  	0,00409  
19,01622  	807,42635  	275,38321  	1327,82053  	26,60124  	0,04687  	0,02628  	85706,53851  	0,01805  	0,06874  	0,21628  	0,21415  	19054871,87932  	217978,70764  	5,32826  	25295332,54600  	0,91954  	0,03203  	-Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00450  	1327,62170  	0,00399  	0,00409  
20,01690  	272,16351  	-244,98909  	1327,82053  	26,60122  	0,05212  	0,02632  	85706,53851  	0,01762  	0,06896  	0,21658  	0,21446  	450389,11598  	424,28847  	5,20175  	25295332,54600  	267,70554  	0,20579  	NaN  	NaN  	0,00405  	0,00408  	0,00396  	0,00451  	1327,62170  	0,00401  	0,00409  
21,01680  	814,44237  	814,39792  	1327,82053  	26,60102  	0,05022  	0,02615  	17321,84623  	0,01805  	0,06969  	0,21524  	0,21312  	125016581,97856  	120838,88068  	5,32701  	5112350,44959  	0,89574  	0,00980  	-Inf  	-Inf  	0,00406  	0,00408  	0,00396  	0,00450  	268,32414  	0,00400  	0,00409  
22,01743  	265,55313  	1327,75450  	1327,82053  	26,60123  	0,04728  	0,02640  	52751,81302  	0,01795  	0,06916  	0,21728  	0,21515  	146036786,46357  	0,01554  	5,29652  	15569111,48146  	308,37821  	0,00371  	-Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00451  	817,14400  	0,00399  	0,00409  
23,01734  	819,37724  	263,43282  	1327,82053  	26,60214  	0,05022  	0,02604  	85706,53851  	0,01800  	0,06875  	0,21429  	0,21217  	18434897,79290  	260981,75917  	5,31185  	25295332,54600  	0,85935  	0,03546  	-Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00450  	1327,62170  	0,00400  	0,00409  
24,01905  	1327,82048  	821,11784  	1327,82053  	26,60222  	0,05335  	0,02598  	16888,06740  	0,01752  	0,06981  	0,21384  	0,21171  	210978987,11329  	3191886,47244  	5,17065  	4984325,44790  	0,10039  	0,01027  	-Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00450  	261,60479  	0,00401  	0,00409  
25,01919  	1327,82048  	1327,75450  	1327,82053  	26,60293  	0,04929  	0,02623  	-15815,93170  	0,01777  	0,06975  	0,21588  	0,21375  	802102176,72280  	384,34603  	5,24563  	-4667896,50935  	0,10031  	0,00386  	-Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00450  	-244,98909  	0,00400  	0,00409  
26,02040  	1327,82048  	258,51515  	1327,82053  	26,60505  	0,05029  	0,02633  	-15815,93170  	0,01766  	0,06900  	0,21670  	0,21458  	29763617,03434  	6349187,46855  	5,21232  	-4667896,50935  	0,09923  	0,03599  	-Inf  	-Inf  	0,00406  	0,00408  	0,00396  	0,00451  	-244,98909  	0,00400  	0,00409  
27,02221  	1327,82048  	-244,98909  	255,22211  	26,60553  	0,04477  	0,02651  	-15815,93170  	0,01797  	0,06903  	0,21821  	0,21608  	376,66021  	2644428,26594  	5,30305  	-4667896,50935  	0,09928  	158,51090  	Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00451  	-244,98909  	0,00398  	0,00409  
28,02539  	1327,82048  	-244,98909  	832,03676  	26,60549  	0,04715  	0,02638  	-15815,93170  	0,01874  	0,06807  	0,21712  	0,21500  	30640,60703  	5996548,34353  	5,53010  	-4667896,50935  	0,09789  	3,61225  	Inf  	-Inf  	0,00405  	0,00409  	0,00395  	0,00451  	-244,98909  	0,00399  	0,00409  
