01/24/2025 09:51:37Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,02237  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,02261  	1327,82048  	1327,75450  	-244,98909  	27,02687  	0,04861  	0,29619  	85706,53851  	0,18506  	0,23648  	2,44780  	2,44406  	8178065,52827  	9044841,59990  	54,61872  	25295332,54600  	0,33962  	0,19197  	NaN  	NaN  	0,00406  	0,00486  	0,00395  	0,00969  	1327,62170  	0,00400  	0,00431  
4,02550  	1327,82048  	1327,75450  	883,87671  	27,02778  	0,05271  	0,29525  	85706,53851  	0,18404  	0,23689  	2,44005  	2,43632  	858954563,52007  	2768192,91678  	54,31766  	25295332,54600  	0,34020  	0,00898  	NaN  	NaN  	0,00405  	0,00485  	0,00396  	0,00967  	1327,62170  	0,00401  	0,00431  
01/24/2025 09:54:17Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,04387  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,04512  	-244,98909  	-244,98909  	-244,98909  	26,40656  	0,04876  	-0,00407  	-15815,93170  	0,00394  	0,00320  	-0,03466  	-0,03661  	1375,13997  	0,00000  	1,16244  	-4667896,50935  	0,54308  	0,94346  	Inf  	-Inf  	0,00405  	0,00402  	0,00395  	0,00392  	-244,98909  	0,00400  	0,00400  
4,04537  	-244,98909  	883,82931  	883,87671  	26,40430  	0,04260  	-0,00168  	57050,63949  	0,00251  	0,00343  	-0,01490  	-0,01685  	620534,90028  	0,09158  	0,73961  	16837862,34922  	0,58223  	0,01902  	-Inf  	-Inf  	0,00406  	0,00401  	0,00396  	0,00397  	883,73400  	0,00398  	0,00400  
