11/14/2024 16:22:34Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,01418  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,01468  	1327,82048  	-244,98909  	1327,82053  	26,55840  	0,04834  	0,26863  	85706,53851  	0,38350  	0,20814  	2,22001  	2,21644  	7203481,52587  	8975828,43678  	113,18675  	25295332,54600  	0,29938  	0,19087  	NaN  	NaN  	0,00404  	0,00578  	0,00396  	0,00916  	1327,62170  	0,00399  	0,00428  
4,01520  	198,46309  	-244,98909  	1327,82053  	26,55975  	0,04615  	0,29648  	85706,53851  	0,41919  	0,21298  	2,45023  	2,44650  	973731,53438  	308,77139  	123,71845  	25295332,54600  	3250,51533  	0,18219  	NaN  	NaN  	0,00404  	0,00595  	0,00394  	0,00969  	1327,62170  	0,00399  	0,00428  
5,01481  	775,96851  	775,92568  	306,86290  	26,56182  	0,03823  	0,29630  	19805,27509  	0,42152  	0,22031  	2,44872  	2,44498  	4389840,63270  	60427,09939  	124,40794  	5845306,88395  	3,54520  	0,15097  	NaN  	NaN  	0,00405  	0,00596  	0,00395  	0,00969  	306,79313  	0,00396  	0,00429  
6,01674  	1327,82048  	305,89589  	776,91242  	26,56317  	0,04576  	0,29639  	50146,25738  	0,42140  	0,22032  	2,44949  	2,44576  	7623916,09641  	2544423,05802  	124,37078  	14800110,68645  	0,31690  	0,18069  	NaN  	NaN  	0,00404  	0,00596  	0,00395  	0,00969  	776,78323  	0,00399  	0,00429  
7,01734  	1327,82048  	-244,98909  	304,20612  	26,56457  	0,04020  	0,29667  	85706,53851  	0,42028  	0,22076  	2,45182  	2,44808  	1201,63683  	2606058,52386  	124,03991  	25295332,54600  	0,31752  	265,63961  	Inf  	-Inf  	0,00405  	0,00595  	0,00395  	0,00970  	1327,62170  	0,00397  	0,00429  
8,01922  	1327,82048  	-244,98909  	782,09422  	26,56621  	0,04709  	0,29672  	85706,53851  	0,42195  	0,22023  	2,45219  	2,44846  	50584,57530  	5709771,95347  	124,53305  	25295332,54600  	0,31676  	5,75863  	Inf  	-Inf  	0,00405  	0,00596  	0,00394  	0,00970  	1327,62170  	0,00399  	0,00429  
9,01927  	1327,82048  	-244,98909  	297,73878  	26,56748  	0,05019  	0,29679  	19216,32697  	0,42099  	0,22031  	2,45281  	2,44907  	1199,21175  	3215856,87466  	124,25040  	5671485,39113  	0,31687  	308,59544  	Inf  	-Inf  	0,00405  	0,00595  	0,00395  	0,00970  	297,67016  	0,00400  	0,00429  
10,01925  	1327,82048  	-244,98909  	786,79413  	26,56961  	0,03998  	0,29616  	-15815,93170  	0,41774  	0,21972  	2,44759  	2,44385  	53928,09443  	4869662,35944  	123,29095  	-4667896,50935  	0,31602  	4,66726  	Inf  	-Inf  	0,00405  	0,00594  	0,00395  	0,00969  	-244,98909  	0,00397  	0,00429  
11,02078  	293,64864  	-244,98909  	293,64865  	26,57147  	0,05649  	0,29632  	50938,29106  	0,41706  	0,22098  	2,44893  	2,44519  	246,88308  	186,93666  	123,09127  	15033870,62507  	554,91489  	331,23844  	NaN  	NaN  	0,00405  	0,00594  	0,00395  	0,00969  	789,05205  	0,00402  	0,00429  
12,02184  	791,30720  	791,26372  	791,30723  	26,57331  	0,04295  	0,29675  	85706,53851  	0,42069  	0,22089  	2,45249  	2,44875  	55141233,14525  	7,19682  	124,16246  	25295332,54600  	3,24508  	0,03106  	-Inf  	-Inf  	0,00405  	0,00595  	0,00396  	0,00970  	1327,62170  	0,00398  	0,00429  
13,02251  	287,98017  	287,95781  	1327,82053  	26,57474  	0,04571  	0,29712  	85706,53851  	0,42211  	0,22153  	2,45551  	2,45177  	21627194,09709  	277,15352  	124,58106  	25295332,54600  	622,52290  	0,03018  	-Inf  	-Inf  	0,00405  	0,00596  	0,00395  	0,00970  	1327,62170  	0,00399  	0,00429  
14,02306  	797,48002  	797,43629  	1327,82053  	26,57553  	0,03648  	0,29680  	85706,53851  	0,41995  	0,22029  	2,45285  	2,44912  	367645814,53584  	78571,00533  	123,94352  	25295332,54600  	3,12171  	0,00737  	-Inf  	-Inf  	0,00404  	0,00595  	0,00395  	0,00970  	1327,62170  	0,00396  	0,00429  
15,02489  	1327,82048  	1327,75450  	282,21670  	26,57647  	0,04539  	0,29606  	18214,40031  	0,42191  	0,22010  	2,44674  	2,44301  	104497992,63469  	5603102,40364  	124,52350  	5375777,87001  	0,31657  	0,03045  	NaN  	NaN  	0,00404  	0,00596  	0,00395  	0,00968  	282,15005  	0,00399  	0,00429  
16,02430  	1327,82048  	279,99140  	-244,98909  	26,57768  	0,04268  	0,29639  	-15815,93170  	0,42156  	0,21983  	2,44946  	2,44573  	1196,66899  	2645038,51939  	124,41807  	-4667896,50935  	0,31617  	211,56024  	NaN  	NaN  	0,00404  	0,00596  	0,00394  	0,00969  	-244,98909  	0,00398  	0,00429  
17,02596  	276,66047  	806,12683  	806,17096  	26,57663  	0,04535  	0,29631  	52034,85157  	0,41968  	0,21938  	2,44887  	2,44514  	20205209,90837  	0,01067  	123,86394  	15357508,27514  	776,13055  	0,03023  	-Inf  	-Inf  	0,00404  	0,00595  	0,00395  	0,00969  	806,03807  	0,00399  	0,00429  
18,02664  	808,26528  	1327,75450  	274,56613  	26,57674  	0,03719  	0,29660  	17720,56775  	0,41997  	0,21942  	2,45123  	2,44750  	60677988,60479  	174290,08280  	123,95086  	5230028,67620  	2,92172  	0,02548  	NaN  	NaN  	0,00404  	0,00595  	0,00395  	0,00969  	274,50045  	0,00396  	0,00429  
