01/24/2025 11:19:44Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,02470  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,02802  	-244,98909  	1327,75450  	1327,82053  	27,31420  	0,04911  	0,29620  	85706,53851  	0,19537  	0,23564  	2,44790  	2,44417  	567046119,91034  	0,14483  	57,66260  	25295332,54600  	40,40248  	0,00385  	-Inf  	-Inf  	0,00406  	0,00491  	0,00396  	0,00969  	1327,62170  	0,00400  	0,00431  
4,03230  	884,76083  	1327,75450  	198,07058  	27,31624  	0,05249  	0,25723  	85706,53851  	0,17141  	0,23101  	2,12575  	2,12225  	51002666,71694  	488604,18724  	50,58905  	25295332,54600  	2,02212  	0,04456  	NaN  	NaN  	0,00405  	0,00480  	0,00396  	0,00894  	1327,62170  	0,00401  	0,00431  
5,03207  	1327,82048  	1327,75450  	778,10676  	27,31807  	0,04637  	0,20054  	85706,53851  	0,13506  	0,21288  	1,65703  	1,65387  	565425693,19414  	3019755,34523  	39,86280  	25295332,54600  	0,30544  	0,00974  	NaN  	NaN  	0,00406  	0,00463  	0,00396  	0,00785  	1327,62170  	0,00399  	0,00428  
6,03355  	1327,82048  	1327,75450  	1327,82053  	27,31295  	0,04988  	0,14775  	19387,97173  	0,10140  	0,18548  	1,22056  	1,21771  	2131687948,38310  	390,26767  	29,92625  	5722144,43328  	0,26612  	0,00391  	-Inf  	-Inf  	0,00405  	0,00447  	0,00396  	0,00684  	300,32899  	0,00400  	0,00425  
7,03305  	1327,82048  	1327,75450  	296,70746  	27,29930  	0,04973  	0,10250  	50740,84993  	0,07110  	0,15715  	0,84646  	0,84389  	79021273,16150  	6074386,82268  	20,98526  	14975598,06959  	0,22548  	0,03208  	NaN  	NaN  	0,00406  	0,00433  	0,00396  	0,00597  	785,99364  	0,00400  	0,00421  
8,03424  	1327,82048  	1327,75450  	786,90218  	27,29463  	0,04633  	0,06480  	19099,52540  	0,04725  	0,12863  	0,53479  	0,53244  	350814131,08108  	2968860,35789  	13,94450  	5637012,70442  	0,18456  	0,00956  	NaN  	NaN  	0,00406  	0,00422  	0,00395  	0,00524  	295,86088  	0,00399  	0,00417  
9,03762  	1327,82048  	1327,75450  	292,36659  	27,30042  	0,05266  	0,03543  	51021,04599  	0,02637  	0,10101  	0,29194  	0,28976  	49923158,57296  	6459155,97726  	7,78218  	15058294,82362  	0,14494  	0,03437  	NaN  	NaN  	0,00406  	0,00412  	0,00396  	0,00468  	790,33395  	0,00401  	0,00413  
10,03852  	1327,82048  	1327,75450  	-244,98909  	27,30567  	0,05100  	0,02596  	18598,80830  	0,01931  	0,07832  	0,21363  	0,21151  	2707720,95768  	9503757,55203  	5,69989  	5489231,61616  	0,11237  	0,20143  	NaN  	NaN  	0,00406  	0,00409  	0,00396  	0,00450  	288,10463  	0,00400  	0,00410  
11,03950  	1327,82048  	1327,75450  	-244,98909  	27,31051  	0,05090  	0,02608  	-15815,93170  	0,01933  	0,07196  	0,21467  	0,21255  	2488064,75711  	9484782,19931  	5,70609  	-4667896,50935  	0,10325  	0,20103  	NaN  	NaN  	0,00405  	0,00409  	0,00395  	0,00450  	-244,98909  	0,00400  	0,00410  
12,04046  	279,80451  	279,78250  	803,02691  	27,31578  	0,05057  	0,02613  	-15815,93170  	0,01879  	0,07112  	0,21503  	0,21291  	477545,59243  	145,17424  	5,54561  	-4667896,50935  	232,32624  	0,19967  	-Inf  	-Inf  	0,00405  	0,00409  	0,00396  	0,00450  	-244,98909  	0,00400  	0,00409  
13,04194  	-244,98909  	804,87077  	1327,82053  	27,32004  	0,04808  	0,02626  	51953,77169  	0,01799  	0,06918  	0,21612  	0,21400  	41698601,47233  	1122,67995  	5,30892  	15333578,45054  	11,86298  	0,00956  	-Inf  	-Inf  	0,00406  	0,00408  	0,00395  	0,00450  	804,78212  	0,00399  	0,00409  
14,04201  	-244,98909  	1327,75450  	1327,82053  	27,32162  	0,04414  	0,02596  	85706,53851  	0,01734  	0,06829  	0,21368  	0,21156  	164346835,49943  	0,13016  	5,11827  	25295332,54600  	11,71043  	0,00346  	-Inf  	-Inf  	0,00406  	0,00408  	0,00396  	0,00450  	1327,62170  	0,00398  	0,00409  
15,04293  	812,36188  	270,44788  	1327,82053  	27,32135  	0,05043  	0,02598  	85706,53851  	0,01684  	0,06714  	0,21382  	0,21170  	18342194,51539  	247040,35804  	4,96983  	25295332,54600  	0,86962  	0,03492  	-Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00450  	1327,62170  	0,00400  	0,00409  
16,04474  	1327,82048  	-244,98909  	269,12011  	27,32167  	0,05179  	0,02593  	17369,03558  	0,01633  	0,06676  	0,21338  	0,21125  	363,35749  	3154541,70244  	4,81979  	5126277,86319  	0,09578  	222,45177  	Inf  	-Inf  	0,00405  	0,00408  	0,00396  	0,00450  	269,05512  	0,00401  	0,00409  
17,04513  	1327,82048  	816,49499  	-244,98909  	27,32257  	0,05214  	0,02593  	-15815,93170  	0,01672  	0,06582  	0,21342  	0,21130  	24194,43576  	6558404,00275  	4,93530  	-4667896,50935  	0,09443  	4,59414  	NaN  	NaN  	0,00405  	0,00408  	0,00396  	0,00450  	-244,98909  	0,00401  	0,00409  
18,04830  	263,66689  	1327,75450  	-244,98909  	27,32074  	0,04750  	0,02618  	52873,56693  	0,01628  	0,06541  	0,21544  	0,21331  	411019,95651  	369,50390  	4,80515  	15605045,79574  	298,96543  	0,18758  	NaN  	NaN  	0,00406  	0,00408  	0,00395  	0,00450  	819,03000  	0,00399  	0,00409  
19,04978  	822,27455  	1327,75450  	822,27458  	27,32069  	0,04568  	0,02642  	85706,53851  	0,01621  	0,06505  	0,21746  	0,21534  	120503895,18926  	116144,02679  	4,78438  	25295332,54600  	0,79675  	0,00878  	-Inf  	-Inf  	0,00406  	0,00408  	0,00396  	0,00451  	1327,62170  	0,00399  	0,00409  
20,04991  	1327,82048  	1327,75450  	255,93570  	27,32093  	0,04545  	0,02625  	85706,53851  	0,01704  	0,06583  	0,21606  	0,21394  	28073172,94829  	5771545,65476  	5,02875  	25295332,54600  	0,09444  	0,03276  	NaN  	NaN  	0,00406  	0,00408  	0,00396  	0,00450  	1327,62170  	0,00399  	0,00409  
21,05087  	1327,82048  	1327,75450  	830,46583  	27,32040  	0,04647  	0,02640  	85706,53851  	0,01666  	0,06577  	0,21729  	0,21517  	204181778,89549  	2738008,88988  	4,91768  	25295332,54600  	0,09436  	0,00878  	NaN  	NaN  	0,00406  	0,00408  	0,00395  	0,00451  	1327,62170  	0,00399  	0,00409  
22,05503  	1327,82048  	1327,75450  	249,71788  	27,32106  	0,04310  	0,02600  	85706,53851  	0,01658  	0,06658  	0,21394  	0,21182  	27679177,00613  	5504939,49077  	4,89473  	25295332,54600  	0,09553  	0,03161  	NaN  	NaN  	0,00405  	0,00408  	0,00396  	0,00450  	1327,62170  	0,00398  	0,00409  
23,05761  	246,96491  	246,94427  	835,86652  	27,32070  	0,04776  	0,02611  	85706,53851  	0,01735  	0,06750  	0,21490  	0,21278  	394264,34523  	129,57129  	5,12061  	25295332,54600  	439,33394  	0,18860  	-Inf  	-Inf  	0,00406  	0,00408  	0,00395  	0,00450  	1327,62170  	0,00399  	0,00409  
